Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance
29 Sep 2024,BY TRANSFER-UPI/CR/415052619645/ROHIT T/SBIN/rohit@okhdfc/Dr Re--,TRANSFER FROM 8974521398,,1642.52,37480.01
12 Jul 2024,BY TRANSFER-UPI/CR/477281968927/ANITA P/IDIB/rohit@okhdfc/Dr Re--,TRANSFER FROM 9137022807,,3327.51,40807.52
17 Jul 2024,BY TRANSFER-UPI/CR/447643392116/ANITA P/KKBK/anitapawar/Dr Re--,TRANSFER FROM 8974521398,,3706.88,44514.4
6 Sep 2024,TO TRANSFER-UPI/DR/424072142099/ANITA P/KKBK/rohit@okhdfc/UPI--,TRANSFER TO 7382910045,4925.06,,39589.34
8 Jul 2024,BY TRANSFER-UPI/CR/499164296454/RAHUL D/KKBK/rohit@okhdfc/Dr Re--,TRANSFER FROM 4897690162095,,3070.56,42659.9
17 Sep 2024,BY TRANSFER-UPI/CR/458283201317/PRIYA K/HDFC/anitapawar/Dr Re--,TRANSFER FROM 4897690162095,,3724.64,46384.54
21 Aug 2024,TO TRANSFER-UPI/DR/427800247987/PRIYA K/KKBK/anitapawar/UPI--,TRANSFER TO 8974521398,1594.11,,44790.43
28 Jul 2024,TO TRANSFER-UPI/DR/446933467433/SAMEER S/ICIC/rahuldixit/UPI--,TRANSFER TO 4897732162091,1329.68,,43460.75
7 Aug 2024,BY TRANSFER-UPI/CR/405650752567/SAGAR MO/KKBK/rohit@okhdfc/Dr Re--,TRANSFER FROM 8974521398,,2054.68,45515.43
11 Sep 2024,BY TRANSFER-UPI/CR/421960805941/ANITA P/ICIC/anitapawar/Dr Re--,TRANSFER FROM 9137022807,,4467.21,49982.64
6 Jul 2024,BY TRANSFER-UPI/CR/404144485065/PRIYA K/ICIC/rohit@okhdfc/Dr Re--,TRANSFER FROM 8974521398,,496.12,50478.76
23 Jul 2024,BY TRANSFER-UPI/CR/466107312060/ANITA P/ICIC/write2same/Dr Re--,TRANSFER FROM 9137022807,,4723.01,55201.77
19 Jul 2024,BY TRANSFER-UPI/CR/495673590974/SAMEER S/SBIN/rahuldixit/Dr Re--,TRANSFER FROM 9137022807,,3374.56,58576.33
10 Jul 2024,BY TRANSFER-UPI/CR/428777487294/ROHIT T/ICIC/spawar3290/Dr Re--,TRANSFER FROM 7382910045,,4376.1,62952.43
11 Jul 2024,BY TRANSFER-UPI/CR/446633105858/PRIYA K/ICIC/write2same/Dr Re--,TRANSFER FROM 8974521398,,4227.57,67180.0
14 Aug 2024,TO TRANSFER-UPI/DR/472979871549/RAHUL D/IDIB/spawar3290/UPI--,TRANSFER TO 9137022807,3166.97,,64013.03
28 Aug 2024,TO TRANSFER-UPI/DR/416810745605/PRIYA K/IDIB/spawar3290/UPI--,TRANSFER TO 7382910045,989.23,,63023.8
7 Jul 2024,TO TRANSFER-UPI/DR/414101232780/MS SANJE/SBIN/rohit@okhdfc/UPI--,TRANSFER TO 9137022807,1401.63,,61622.17
2 Sep 2024,TO TRANSFER-UPI/DR/420738991651/MS SANJE/IDIB/write2same/UPI--,TRANSFER TO 4897732162091,1019.32,,60602.85
9 Sep 2024,TO TRANSFER-UPI/DR/418480971545/SAGAR MO/SBIN/rahuldixit/UPI--,TRANSFER TO 8974521398,3244.38,,57358.47
7 Jul 2024,TO TRANSFER-UPI/DR/405433960684/PRIYA K/IDIB/rahuldixit/UPI--,TRANSFER TO 4897732162091,2335.18,,55023.29
27 Jul 2024,BY TRANSFER-UPI/CR/436999367140/MS SANJE/HDFC/rohit@okhdfc/Dr Re--,TRANSFER FROM 7382910045,,1439.98,56463.27
5 Jul 2024,BY TRANSFER-UPI/CR/440703922652/MS SANJE/KKBK/rohit@okhdfc/Dr Re--,TRANSFER FROM 4897732162091,,3085.11,59548.38
23 Jul 2024,BY TRANSFER-UPI/CR/416873665125/SAGAR MO/IDIB/anitapawar/Dr Re--,TRANSFER FROM 4897732162091,,816.99,60365.37
4 Sep 2024,TO TRANSFER-UPI/DR/458948492694/RAHUL D/KKBK/spawar3290/UPI--,TRANSFER TO 9137022807,56.02,,60309.35
22 Jul 2024,BY TRANSFER-UPI/CR/428161768770/ROHIT T/IDIB/rahuldixit/Dr Re--,TRANSFER FROM 4897690162095,,4098.27,64407.62
5 Aug 2024,TO TRANSFER-UPI/DR/441573359968/PRIYA K/SBIN/anitapawar/UPI--,TRANSFER TO 4897732162091,4374.12,,60033.5
6 Sep 2024,BY TRANSFER-UPI/CR/492830432818/PRIYA K/HDFC/write2same/Dr Re--,TRANSFER FROM 4897690162095,,4652.63,64686.13
1 Sep 2024,BY TRANSFER-UPI/CR/486783125572/MS SANJE/SBIN/write2same/Dr Re--,TRANSFER FROM 4897732162091,,3708.39,68394.52
27 Aug 2024,TO TRANSFER-UPI/DR/477647742145/ANITA P/KKBK/spawar3290/UPI--,TRANSFER TO 7382910045,1933.19,,66461.33
27 Sep 2024,BY TRANSFER-UPI/CR/465556605917/SAMEER S/HDFC/anitapawar/Dr Re--,TRANSFER FROM 8974521398,,2968.82,69430.15
8 Jul 2024,TO TRANSFER-UPI/DR/420774704265/ROHIT T/HDFC/rohit@okhdfc/UPI--,TRANSFER TO 8974521398,3585.14,,65845.01
15 Sep 2024,BY TRANSFER-UPI/CR/477273910889/PRIYA K/HDFC/write2same/Dr Re--,TRANSFER FROM 4897732162091,,4482.24,70327.25
19 Aug 2024,TO TRANSFER-UPI/DR/436013221169/RAHUL D/KKBK/rohit@okhdfc/UPI--,TRANSFER TO 7382910045,2289.92,,68037.33
4 Sep 2024,TO TRANSFER-UPI/DR/485999797168/ROHIT T/KKBK/spawar3290/UPI--,TRANSFER TO 9137022807,1169.59,,66867.74
9 Aug 2024,TO TRANSFER-UPI/DR/429543783940/PRIYA K/KKBK/rahuldixit/UPI--,TRANSFER TO 7382910045,849.05,,66018.69
2 Jul 2024,TO TRANSFER-UPI/DR/461739050070/PRIYA K/HDFC/anitapawar/UPI--,TRANSFER TO 7382910045,2731.28,,63287.41
19 Sep 2024,BY TRANSFER-UPI/CR/486798350714/MS SANJE/SBIN/write2same/Dr Re--,TRANSFER FROM 9137022807,,3553.41,66840.82
20 Sep 2024,TO TRANSFER-UPI/DR/409935448297/MS SANJE/IDIB/rahuldixit/UPI--,TRANSFER TO 9137022807,1252.85,,65587.97
8 Aug 2024,TO TRANSFER-UPI/DR/436005974980/SAMEER S/ICIC/spawar3290/UPI--,TRANSFER TO 4897732162091,3627.76,,61960.21
9 Jul 2024,TO TRANSFER-UPI/DR/492553159656/ANITA P/SBIN/rahuldixit/UPI--,TRANSFER TO 4897690162095,589.89,,61370.32
22 Aug 2024,BY TRANSFER-UPI/CR/461454849753/PRIYA K/HDFC/rahuldixit/Dr Re--,TRANSFER FROM 8974521398,,3611.31,64981.63
20 Jul 2024,TO TRANSFER-UPI/DR/465062765751/PRIYA K/HDFC/spawar3290/UPI--,TRANSFER TO 8974521398,351.3,,64630.33
20 Sep 2024,BY TRANSFER-UPI/CR/422845593030/ROHIT T/SBIN/anitapawar/Dr Re--,TRANSFER FROM 9137022807,,3693.36,68323.69
19 Sep 2024,BY TRANSFER-UPI/CR/402210546544/RAHUL D/KKBK/rohit@okhdfc/Dr Re--,TRANSFER FROM 4897690162095,,3172.22,71495.91
21 Aug 2024,TO TRANSFER-UPI/DR/486957480247/PRIYA K/ICIC/rohit@okhdfc/UPI--,TRANSFER TO 7382910045,1853.82,,69642.09
26 Aug 2024,BY TRANSFER-UPI/CR/423541503812/MS SANJE/KKBK/spawar3290/Dr Re--,TRANSFER FROM 7382910045,,3614.48,73256.57
7 Aug 2024,TO TRANSFER-UPI/DR/412198955114/SAMEER S/KKBK/write2same/UPI--,TRANSFER TO 4897690162095,1474.17,,71782.4
14 Jul 2024,BY TRANSFER-UPI/CR/426411918293/ANITA P/IDIB/anitapawar/Dr Re--,TRANSFER FROM 8974521398,,3114.54,74896.94
14 Sep 2024,TO TRANSFER-UPI/DR/488711983365/RAHUL D/SBIN/spawar3290/UPI--,TRANSFER TO 4897732162091,4877.99,,70018.95
31 Aug 2024,TO TRANSFER-UPI/DR/404825509095/MS SANJE/IDIB/rohit@okhdfc/UPI--,TRANSFER TO 4897690162095,4792.2,,65226.75
23 Aug 2024,BY TRANSFER-UPI/CR/473185369262/ROHIT T/SBIN/spawar3290/Dr Re--,TRANSFER FROM 4897732162091,,2506.78,67733.53
4 Aug 2024,TO TRANSFER-UPI/DR/424161297584/ROHIT T/SBIN/rohit@okhdfc/UPI--,TRANSFER TO 4897690162095,3120.83,,64612.7
30 Aug 2024,BY TRANSFER-UPI/CR/421890918101/SAMEER S/KKBK/write2same/Dr Re--,TRANSFER FROM 7382910045,,2102.01,66714.71
26 Aug 2024,BY TRANSFER-UPI/CR/456812002874/ANITA P/KKBK/spawar3290/Dr Re--,TRANSFER FROM 9137022807,,4523.99,71238.7
28 Jul 2024,BY TRANSFER-UPI/CR/414796822066/SAMEER S/KKBK/write2same/Dr Re--,TRANSFER FROM 4897732162091,,4951.84,76190.54
8 Sep 2024,TO TRANSFER-UPI/DR/407707615904/PRIYA K/HDFC/anitapawar/UPI--,TRANSFER TO 4897690162095,3353.18,,72837.36
26 Sep 2024,TO TRANSFER-UPI/DR/409938984868/RAHUL D/IDIB/anitapawar/UPI--,TRANSFER TO 9137022807,4063.65,,68773.71
9 Sep 2024,BY TRANSFER-UPI/CR/432985606220/SAMEER S/KKBK/rahuldixit/Dr Re--,TRANSFER FROM 7382910045,,1184.86,69958.57
1 Sep 2024,TO TRANSFER-UPI/DR/449862598585/SAMEER S/IDIB/spawar3290/UPI--,TRANSFER TO 4897732162091,3371.42,,66587.15
9 Jul 2024,BY TRANSFER-UPI/CR/462975624899/RAHUL D/KKBK/rahuldixit/Dr Re--,TRANSFER FROM 4897690162095,,4369.96,70957.11
15 Sep 2024,TO TRANSFER-UPI/DR/445518754946/RAHUL D/SBIN/anitapawar/UPI--,TRANSFER TO 9137022807,1470.72,,69486.39
20 Jul 2024,TO TRANSFER-UPI/DR/497050814442/PRIYA K/KKBK/anitapawar/UPI--,TRANSFER TO 8974521398,2687.85,,66798.54
26 Aug 2024,BY TRANSFER-UPI/CR/477759529769/PRIYA K/SBIN/rohit@okhdfc/Dr Re--,TRANSFER FROM 4897732162091,,1544.36,68342.9
9 Jul 2024,TO TRANSFER-UPI/DR/494416147939/PRIYA K/ICIC/anitapawar/UPI--,TRANSFER TO 4897732162091,1106.52,,67236.38
28 Jul 2024,TO TRANSFER-UPI/DR/424858693652/SAGAR MO/HDFC/spawar3290/UPI--,TRANSFER TO 9137022807,621.02,,66615.36
15 Jul 2024,BY TRANSFER-UPI/CR/434405738250/SAMEER S/ICIC/rohit@okhdfc/Dr Re--,TRANSFER FROM 8974521398,,1135.31,67750.67
30 Sep 2024,TO TRANSFER-UPI/DR/460371143165/MS SANJE/HDFC/anitapawar/UPI--,TRANSFER TO 7382910045,4085.47,,63665.2
6 Jul 2024,TO TRANSFER-UPI/DR/482298214438/MS SANJE/IDIB/anitapawar/UPI--,TRANSFER TO 9137022807,330.58,,63334.62
4 Sep 2024,BY TRANSFER-UPI/CR/400753695932/PRIYA K/ICIC/anitapawar/Dr Re--,TRANSFER FROM 8974521398,,1355.64,64690.26
14 Aug 2024,TO TRANSFER-UPI/DR/416262223256/SAMEER S/IDIB/anitapawar/UPI--,TRANSFER TO 4897732162091,3807.42,,60882.84
22 Jul 2024,TO TRANSFER-UPI/DR/425381762594/ROHIT T/HDFC/spawar3290/UPI--,TRANSFER TO 7382910045,1016.83,,59866.01
29 Aug 2024,TO TRANSFER-UPI/DR/450360723141/RAHUL D/IDIB/anitapawar/UPI--,TRANSFER TO 7382910045,4980.87,,54885.14
15 Aug 2024,BY TRANSFER-UPI/CR/482931933972/SAGAR MO/SBIN/rohit@okhdfc/Dr Re--,TRANSFER FROM 9137022807,,2110.05,56995.19
5 Jul 2024,BY TRANSFER-UPI/CR/400943650244/RAHUL D/SBIN/rahuldixit/Dr Re--,TRANSFER FROM 4897732162091,,166.46,57161.65
10 Aug 2024,TO TRANSFER-UPI/DR/403953285880/SAMEER S/KKBK/anitapawar/UPI--,TRANSFER TO 4897732162091,4512.92,,52648.73
29 Aug 2024,BY TRANSFER-UPI/CR/422137181560/SAMEER S/HDFC/anitapawar/Dr Re--,TRANSFER FROM 4897732162091,,2221.48,54870.21
18 Aug 2024,TO TRANSFER-UPI/DR/448099607650/ROHIT T/SBIN/write2same/UPI--,TRANSFER TO 7382910045,4781.16,,50089.05
9 Aug 2024,BY TRANSFER-UPI/CR/412250830011/SAGAR MO/KKBK/rohit@okhdfc/Dr Re--,TRANSFER FROM 9137022807,,1297.45,51386.5
11 Jul 2024,TO TRANSFER-UPI/DR/401128875923/SAGAR MO/ICIC/write2same/UPI--,TRANSFER TO 4897690162095,1652.19,,49734.31
17 Jul 2024,TO TRANSFER-UPI/DR/496258519987/ANITA P/SBIN/write2same/UPI--,TRANSFER TO 4897732162091,4969.94,,44764.37
28 Aug 2024,BY TRANSFER-UPI/CR/427922520031/SAGAR MO/HDFC/anitapawar/Dr Re--,TRANSFER FROM 4897690162095,,4472.17,49236.54
12 Jul 2024,BY TRANSFER-UPI/CR/457643430871/ROHIT T/IDIB/rahuldixit/Dr Re--,TRANSFER FROM 9137022807,,1270.85,50507.39
21 Aug 2024,BY TRANSFER-UPI/CR/403534460163/PRIYA K/HDFC/rahuldixit/Dr Re--,TRANSFER FROM 8974521398,,2414.59,52921.98
8 Aug 2024,TO TRANSFER-UPI/DR/485876198769/MS SANJE/SBIN/spawar3290/UPI--,TRANSFER TO 4897732162091,1575.06,,51346.92
6 Jul 2024,TO TRANSFER-UPI/DR/491018212358/ANITA P/KKBK/write2same/UPI--,TRANSFER TO 7382910045,430.85,,50916.07
19 Sep 2024,TO TRANSFER-UPI/DR/475996488671/RAHUL D/HDFC/spawar3290/UPI--,TRANSFER TO 9137022807,2255.77,,48660.3
13 Sep 2024,BY TRANSFER-UPI/CR/420853832566/ANITA P/ICIC/rohit@okhdfc/Dr Re--,TRANSFER FROM 8974521398,,88.61,48748.91
22 Aug 2024,BY TRANSFER-UPI/CR/490283154614/SAMEER S/SBIN/anitapawar/Dr Re--,TRANSFER FROM 4897690162095,,187.13,48936.04
17 Aug 2024,TO TRANSFER-UPI/DR/480843224058/ROHIT T/SBIN/write2same/UPI--,TRANSFER TO 7382910045,1657.18,,47278.86
21 Sep 2024,BY TRANSFER-UPI/CR/461229220113/MS SANJE/KKBK/rohit@okhdfc/Dr Re--,TRANSFER FROM 8974521398,,2352.58,49631.44
21 Jul 2024,TO TRANSFER-UPI/DR/480294360221/ROHIT T/KKBK/rahuldixit/UPI--,TRANSFER TO 4897690162095,1483.15,,48148.29
25 Aug 2024,TO TRANSFER-UPI/DR/478644279607/PRIYA K/IDIB/rohit@okhdfc/UPI--,TRANSFER TO 7382910045,3695.18,,44453.11
26 Jul 2024,BY TRANSFER-UPI/CR/459245440528/SAMEER S/IDIB/rohit@okhdfc/Dr Re--,TRANSFER FROM 8974521398,,2568.57,47021.68
29 Jul 2024,BY TRANSFER-UPI/CR/403215459076/PRIYA K/KKBK/rohit@okhdfc/Dr Re--,TRANSFER FROM 7382910045,,2245.19,49266.87
19 Sep 2024,TO TRANSFER-UPI/DR/426550559607/SAMEER S/IDIB/write2same/UPI--,TRANSFER TO 9137022807,50.81,,49216.06
28 Jul 2024,BY TRANSFER-UPI/CR/445887869922/ROHIT T/IDIB/anitapawar/Dr Re--,TRANSFER FROM 4897690162095,,1721.33,50937.39
21 Sep 2024,BY TRANSFER-UPI/CR/436431543080/ROHIT T/KKBK/anitapawar/Dr Re--,TRANSFER FROM 8974521398,,579.78,51517.17
5 Jul 2024,TO TRANSFER-UPI/DR/451676453947/SAMEER S/ICIC/write2same/UPI--,TRANSFER TO 4897690162095,2956.68,,48560.49
4 Sep 2024,BY TRANSFER-UPI/CR/427926105616/SAGAR MO/IDIB/rahuldixit/Dr Re--,TRANSFER FROM 4897732162091,,2095.04,50655.53
6 Jul 2024,TO TRANSFER-UPI/DR/456420802845/ROHIT T/ICIC/rahuldixit/UPI--,TRANSFER TO 9137022807,1571.21,,49084.32
15 Jul 2024,BY TRANSFER-UPI/CR/481529910399/ROHIT T/IDIB/write2same/Dr Re--,TRANSFER FROM 8974521398,,488.97,49573.29
24 Jul 2024,BY TRANSFER-UPI/CR/489023206073/RAHUL D/HDFC/spawar3290/Dr Re--,TRANSFER FROM 9137022807,,1912.06,51485.35
29 Aug 2024,TO TRANSFER-UPI/DR/481147122013/SAGAR MO/HDFC/spawar3290/UPI--,TRANSFER TO 4897690162095,3460.31,,48025.04
3 Aug 2024,TO TRANSFER-UPI/DR/470752732130/MS SANJE/SBIN/rahuldixit/UPI--,TRANSFER TO 9137022807,327.74,,47697.3
26 Jul 2024,TO TRANSFER-UPI/DR/484082354451/ANITA P/SBIN/rahuldixit/UPI--,TRANSFER TO 4897732162091,2090.22,,45607.08
9 Aug 2024,BY TRANSFER-UPI/CR/408200326286/ROHIT T/HDFC/anitapawar/Dr Re--,TRANSFER FROM 8974521398,,778.39,46385.47
20 Aug 2024,BY TRANSFER-UPI/CR/426496767599/RAHUL D/HDFC/rahuldixit/Dr Re--,TRANSFER FROM 4897732162091,,4069.31,50454.78
2 Sep 2024,TO TRANSFER-UPI/DR/404192009365/ROHIT T/SBIN/rahuldixit/UPI--,TRANSFER TO 9137022807,4268.04,,46186.74
15 Jul 2024,TO TRANSFER-UPI/DR/418539670529/RAHUL D/SBIN/rahuldixit/UPI--,TRANSFER TO 4897732162091,1716.84,,44469.9
25 Aug 2024,TO TRANSFER-UPI/DR/485169140513/MS SANJE/KKBK/rohit@okhdfc/UPI--,TRANSFER TO 8974521398,866.52,,43603.38
10 Aug 2024,BY TRANSFER-UPI/CR/496644536866/RAHUL D/SBIN/rahuldixit/Dr Re--,TRANSFER FROM 7382910045,,362.06,43965.44
15 Sep 2024,BY TRANSFER-UPI/CR/454846315331/MS SANJE/SBIN/spawar3290/Dr Re--,TRANSFER FROM 8974521398,,3109.4,47074.84
12 Jul 2024,BY TRANSFER-UPI/CR/471153687604/SAMEER S/IDIB/spawar3290/Dr Re--,TRANSFER FROM 9137022807,,4463.08,51537.92
1 Jul 2024,BY TRANSFER-UPI/CR/407575175613/PRIYA K/IDIB/spawar3290/Dr Re--,TRANSFER FROM 8974521398,,2218.42,53756.34
18 Jul 2024,BY TRANSFER-UPI/CR/495901153558/PRIYA K/HDFC/anitapawar/Dr Re--,TRANSFER FROM 9137022807,,1541.67,55298.01
2 Jul 2024,BY TRANSFER-UPI/CR/422897589394/SAMEER S/SBIN/spawar3290/Dr Re--,TRANSFER FROM 8974521398,,1386.74,56684.75
18 Sep 2024,BY TRANSFER-UPI/CR/411872101571/SAGAR MO/IDIB/spawar3290/Dr Re--,TRANSFER FROM 7382910045,,3547.58,60232.33
5 Sep 2024,TO TRANSFER-UPI/DR/486507281129/SAMEER S/ICIC/spawar3290/UPI--,TRANSFER TO 9137022807,725.3,,59507.03
27 Sep 2024,BY TRANSFER-UPI/CR/440882606021/RAHUL D/IDIB/spawar3290/Dr Re--,TRANSFER FROM 4897690162095,,4568.83,64075.86
3 Sep 2024,TO TRANSFER-UPI/DR/418217241336/ROHIT T/ICIC/rahuldixit/UPI--,TRANSFER TO 9137022807,1289.87,,62785.99
1 Jul 2024,BY TRANSFER-UPI/CR/493632774796/SAMEER S/KKBK/spawar3290/Dr Re--,TRANSFER FROM 4897732162091,,53.46,62839.45
27 Jul 2024,BY TRANSFER-UPI/CR/404863750858/ROHIT T/HDFC/rahuldixit/Dr Re--,TRANSFER FROM 8974521398,,619.87,63459.32
14 Jul 2024,TO TRANSFER-UPI/DR/475082046998/PRIYA K/HDFC/rohit@okhdfc/UPI--,TRANSFER TO 4897732162091,4119.88,,59339.44
25 Aug 2024,BY TRANSFER-UPI/CR/476466519881/SAGAR MO/HDFC/spawar3290/Dr Re--,TRANSFER FROM 7382910045,,1930.21,61269.65
2 Aug 2024,TO TRANSFER-UPI/DR/439594160233/ROHIT T/HDFC/anitapawar/UPI--,TRANSFER TO 4897732162091,4223.93,,57045.72
28 Sep 2024,TO TRANSFER-UPI/DR/472411882571/SAGAR MO/ICIC/spawar3290/UPI--,TRANSFER TO 8974521398,1114.29,,55931.43
22 Aug 2024,BY TRANSFER-UPI/CR/448240164297/ANITA P/ICIC/spawar3290/Dr Re--,TRANSFER FROM 4897690162095,,2224.82,58156.25
13 Aug 2024,BY TRANSFER-UPI/CR/436887617000/PRIYA K/HDFC/write2same/Dr Re--,TRANSFER FROM 4897732162091,,4511.13,62667.38
13 Sep 2024,TO TRANSFER-UPI/DR/477539209234/MS SANJE/SBIN/anitapawar/UPI--,TRANSFER TO 4897732162091,4130.75,,58536.63
16 Aug 2024,BY TRANSFER-UPI/CR/440203813772/PRIYA K/SBIN/spawar3290/Dr Re--,TRANSFER FROM 7382910045,,4496.7,63033.33
21 Jul 2024,BY TRANSFER-UPI/CR/492155069067/RAHUL D/IDIB/rahuldixit/Dr Re--,TRANSFER FROM 8974521398,,3940.81,66974.14
21 Aug 2024,TO TRANSFER-UPI/DR/432427778157/SAGAR MO/KKBK/spawar3290/UPI--,TRANSFER TO 4897690162095,812.81,,66161.33
22 Jul 2024,BY TRANSFER-UPI/CR/480066057618/MS SANJE/IDIB/anitapawar/Dr Re--,TRANSFER FROM 7382910045,,4483.82,70645.15
13 Jul 2024,TO TRANSFER-UPI/DR/435467453305/SAMEER S/IDIB/anitapawar/UPI--,TRANSFER TO 9137022807,2614.23,,68030.92
20 Sep 2024,TO TRANSFER-UPI/DR/410519999537/SAGAR MO/SBIN/rahuldixit/UPI--,TRANSFER TO 9137022807,2625.72,,65405.2
11 Jul 2024,BY TRANSFER-UPI/CR/439926948212/PRIYA K/ICIC/rohit@okhdfc/Dr Re--,TRANSFER FROM 8974521398,,3607.8,69013.0
6 Jul 2024,BY TRANSFER-UPI/CR/414940723422/RAHUL D/IDIB/rahuldixit/Dr Re--,TRANSFER FROM 7382910045,,272.39,69285.39
21 Jul 2024,BY TRANSFER-UPI/CR/460267239146/SAMEER S/ICIC/anitapawar/Dr Re--,TRANSFER FROM 7382910045,,3603.98,72889.37
10 Jul 2024,TO TRANSFER-UPI/DR/420122229861/SAMEER S/KKBK/anitapawar/UPI--,TRANSFER TO 7382910045,4127.96,,68761.41
11 Aug 2024,TO TRANSFER-UPI/DR/433883944131/ANITA P/HDFC/rahuldixit/UPI--,TRANSFER TO 8974521398,4756.21,,64005.2
9 Sep 2024,BY TRANSFER-UPI/CR/465991732818/MS SANJE/HDFC/spawar3290/Dr Re--,TRANSFER FROM 7382910045,,608.91,64614.11
26 Sep 2024,TO TRANSFER-UPI/DR/419367134336/MS SANJE/KKBK/rohit@okhdfc/UPI--,TRANSFER TO 8974521398,1209.4,,63404.71
9 Sep 2024,BY TRANSFER-UPI/CR/425120005406/RAHUL D/IDIB/anitapawar/Dr Re--,TRANSFER FROM 7382910045,,3687.35,67092.06
14 Sep 2024,BY TRANSFER-UPI/CR/401504708519/ROHIT T/ICIC/write2same/Dr Re--,TRANSFER FROM 9137022807,,3775.72,70867.78
28 Aug 2024,BY TRANSFER-UPI/CR/444511238866/ANITA P/ICIC/rahuldixit/Dr Re--,TRANSFER FROM 8974521398,,2937.32,73805.1
16 Sep 2024,BY TRANSFER-UPI/CR/456972594789/ANITA P/ICIC/rahuldixit/Dr Re--,TRANSFER FROM 7382910045,,4796.76,78601.86
26 Sep 2024,BY TRANSFER-UPI/CR/451496114505/SAMEER S/ICIC/rahuldixit/Dr Re--,TRANSFER FROM 7382910045,,496.74,79098.6
3 Sep 2024,BY TRANSFER-UPI/CR/473399319223/SAGAR MO/KKBK/anitapawar/Dr Re--,TRANSFER FROM 4897690162095,,3754.57,82853.17
7 Sep 2024,TO TRANSFER-UPI/DR/436331097278/PRIYA K/ICIC/write2same/UPI--,TRANSFER TO 4897690162095,1277.23,,81575.94
29 Aug 2024,TO TRANSFER-UPI/DR/444171848443/SAMEER S/SBIN/rahuldixit/UPI--,TRANSFER TO 8974521398,3245.63,,78330.31
27 Sep 2024,BY TRANSFER-UPI/CR/438872975048/SAMEER S/KKBK/spawar3290/Dr Re--,TRANSFER FROM 4897690162095,,2431.09,80761.4
21 Jul 2024,TO TRANSFER-UPI/DR/405256187981/SAMEER S/IDIB/spawar3290/UPI--,TRANSFER TO 9137022807,1556.14,,79205.26
19 Jul 2024,TO TRANSFER-UPI/DR/437952889061/RAHUL D/ICIC/spawar3290/UPI--,TRANSFER TO 4897690162095,4143.45,,75061.81
28 Aug 2024,BY TRANSFER-UPI/CR/445537372635/MS SANJE/HDFC/rahuldixit/Dr Re--,TRANSFER FROM 7382910045,,3338.87,78400.68
29 Sep 2024,TO TRANSFER-UPI/DR/445009802207/PRIYA K/HDFC/spawar3290/UPI--,TRANSFER TO 9137022807,4514.45,,73886.23
15 Aug 2024,BY TRANSFER-UPI/CR/479604455899/MS SANJE/HDFC/write2same/Dr Re--,TRANSFER FROM 4897732162091,,4488.02,78374.25
27 Sep 2024,TO TRANSFER-UPI/DR/443756141373/MS SANJE/SBIN/anitapawar/UPI--,TRANSFER TO 9137022807,2648.34,,75725.91
11 Sep 2024,BY TRANSFER-UPI/CR/453603876815/ANITA P/IDIB/write2same/Dr Re--,TRANSFER FROM 9137022807,,3587.71,79313.62
26 Sep 2024,TO TRANSFER-UPI/DR/481175968144/MS SANJE/ICIC/write2same/UPI--,TRANSFER TO 7382910045,3948.67,,75364.95
2 Sep 2024,BY TRANSFER-UPI/CR/423245809924/MS SANJE/KKBK/anitapawar/Dr Re--,TRANSFER FROM 7382910045,,1684.51,77049.46
4 Sep 2024,BY TRANSFER-UPI/CR/418671566083/SAMEER S/IDIB/spawar3290/Dr Re--,TRANSFER FROM 7382910045,,1010.54,78060.0
26 Sep 2024,TO TRANSFER-UPI/DR/473201704176/ANITA P/IDIB/write2same/UPI--,TRANSFER TO 4897690162095,1375.79,,76684.21
21 Sep 2024,TO TRANSFER-UPI/DR/413916935578/MS SANJE/KKBK/write2same/UPI--,TRANSFER TO 9137022807,4056.14,,72628.07
14 Aug 2024,TO TRANSFER-UPI/DR/406942454121/SAGAR MO/IDIB/spawar3290/UPI--,TRANSFER TO 4897732162091,2295.6,,70332.47
12 Aug 2024,BY TRANSFER-UPI/CR/403521860849/RAHUL D/IDIB/rohit@okhdfc/Dr Re--,TRANSFER FROM 4897690162095,,3717.57,74050.04
21 Aug 2024,TO TRANSFER-UPI/DR/462371026109/RAHUL D/IDIB/rohit@okhdfc/UPI--,TRANSFER TO 8974521398,4588.86,,69461.18
4 Aug 2024,BY TRANSFER-UPI/CR/470596332686/ROHIT T/SBIN/rahuldixit/Dr Re--,TRANSFER FROM 4897732162091,,1085.79,70546.97
5 Jul 2024,TO TRANSFER-UPI/DR/479181451502/SAMEER S/KKBK/anitapawar/UPI--,TRANSFER TO 7382910045,3219.94,,67327.03
28 Jul 2024,BY TRANSFER-UPI/CR/448694128277/SAGAR MO/HDFC/rahuldixit/Dr Re--,TRANSFER FROM 9137022807,,3752.02,71079.05
13 Aug 2024,BY TRANSFER-UPI/CR/435144358384/ROHIT T/SBIN/anitapawar/Dr Re--,TRANSFER FROM 9137022807,,1335.74,72414.79
24 Sep 2024,BY TRANSFER-UPI/CR/499384647942/PRIYA K/KKBK/write2same/Dr Re--,TRANSFER FROM 8974521398,,1273.29,73688.08
25 Aug 2024,TO TRANSFER-UPI/DR/471358076182/RAHUL D/IDIB/spawar3290/UPI--,TRANSFER TO 8974521398,1151.6,,72536.48
